age,float,dollar
22,406699653044.6336,$6273.39
60,-626815759758.1312,$5767.97
37,-12818584489.1648,$1946.94
63,220616078655.488,$1055.42
21,708086140921.4464,$381.89
37,-527221047427.072,$8319.92
49,396674175126.7328,$4981.78
62,607590541164.544,$7846.62
48,-328579726442.496,$1248.60
41,-235979231199.232,$3922.17
53,-311838198097.5104,$3515.11
47,20165075297.8944,$5489.84
49,-105058940013.7728,$7087.74
34,-813432238925.4144,$5926.55
59,-558618121129.1648,$188.74
28,-320951902273.536,$7138.19
25,662436217828.1472,$8891.38
41,463204646702.2848,$6118.38
29,-869213415669.76,$1393.21
44,790657842230.0673,$9592.24
19,-734838616437.5552,$6453.15
45,-211313176975.7696,$1581.89
41,-637235136089.2928,$6056.94
34,-544717979569.3568,$783.50
32,-114268239508.2752,$6323.62
30,115364058890.24,$1385.87
29,-478585617907.712,$9383.58
43,-22985831979.4176,$4733.73
36,-849335535271.936,$853.88
50,-487476808803.9424,$296.37
63,-319295766659.072,$3814.08
61,109627051710.8736,$5418.13
53,191299198124.032,$543.94
29,-827628496250.4705,$6936.60
21,769655059146.3424,$8086.91
37,-132195609162.5472,$8961.71
62,652069175505.7152,$2986.16
24,-221227925687.5008,$8361.70
58,682016625603.3792,$4679.21
44,-660094852058.3168,$1316.99
48,580238145958.7072,$1198.45
32,349010639244.4928,$8738.35
54,-253043735632.2816,$7418.29
35,-139890978822.5536,$6743.31
24,-794592790183.936,$8138.58
33,828791848960,$6109.15
64,-75949271102.2592,$2024.03
26,-128917442658.304,$6584.52
51,-374379794294.3744,$81.03
30,-559695072015.1552,$8746.61
50,-512852620633.7024,$4119.60
52,429954686359.9616,$5871.90
22,-828737537336.9344,$4738.76
24,-506185901932.544,$8943.95
58,-362551367539.0976,$5315.74
47,-697785121138.2784,$2798.40
57,-673985426410.7008,$5851.53
42,193981244139.1104,$724.58
40,213895047072.9728,$9746.33
61,-258862093854.3104,$6385.58
32,868673715280.2816,$5991.13
63,136236358015.3856,$7105.78
54,-877954036504.9856,$4095.72
44,-360790399490.4576,$198.00
34,24046816827.8016,$7668.00
47,-283414060492.3904,$6359.22
25,229252036086.9888,$6956.87
33,-843235640265.9327,$9381.28
28,-628664085512.192,$3788.48
53,-362649419880.8576,$6648.78
29,712436454155.8784,$2075.42
59,-70626525682.0736,$1659.27
47,-855054889464.6272,$4914.49
32,826223672426.496,$5858.29
36,387236329684.992,$5448.58
41,150845937575.5264,$5688.85
33,846931249908.9408,$3118.66
36,-274430427555.4304,$7383.23
45,-543600123314.176,$7858.43
42,828515762254.6432,$3447.62
27,-778228273564.8768,$2894.07
57,717413917759.8976,$4953.60
31,-781842979697.4592,$4399.84
33,510978105226.0352,$3218.99
62,-9569286540.4928,$7182.88
32,476341601514.2912,$6655.98
48,298846370817.6384,$7007.05
25,-695235510691.4304,$8159.81
65,-542529231939.1744,$9534.32
19,582172389094.1952,$4471.29
65,-289433690361.0368,$6148.76
21,-141448260144.3328,$5550.13
28,-486485678830.3872,$2012.11
35,176714883792.896,$6468.73
32,771939985522.688,$9176.95
44,543323767334.5024,$7714.06
61,528361958093.6192,$4568.38
44,-893033084931.2769,$6866.87
64,167359071387.648,$6613.97
34,108846377651.4048,$9685.43
32,239038006663.5776,$7882.68
60,216833005191.168,$9890.49
57,482138989474.6112,$4297.15
57,227040469765.3248,$4864.91
38,-53593489434.2144,$9623.84
20,273463566244.2496,$4974.10
28,-803280122806.272,$8011.84
50,124544791399.6288,$9246.10
57,-413517340685.1072,$8246.70
28,-550105928381.2352,$6821.27
51,-473636705769.8816,$6122.05
61,-538210705657.0368,$7.73
53,-199325081036.3904,$1719.00
48,597880021083.7504,$2484.79
42,410611631731.5072,$8480.54
27,-95564492439.552,$7677.09
19,-318659668161.3312,$7762.43
33,254045191143.424,$5465.74
22,748278051871.1296,$2267.15
48,-846335046791.9872,$784.18
49,654554889505.9968,$9569.26
42,-560209187569.664,$4393.80
47,320913112511.2832,$8096.81
59,-579618186723.328,$8667.45
23,-899132391895.8593,$4193.75
21,685273925445.2224,$8590.78
41,33816479111.5776,$2616.36
26,293896520414.0032,$9227.23
43,-574631633223.68,$7821.73
40,-396236680278.8352,$2316.16
39,341870684353.3312,$2309.03
39,251832155137.6384,$2260.17
31,455680331664.5888,$2268.62
42,-304042537176.2688,$305.36
48,-558902667326.2592,$9862.42
33,-529528736710.656,$722.71
58,-643737050519.9615,$3428.73
54,138177353141.4528,$4562.97
50,-388683769734.7584,$7390.68
28,-346030794289.9712,$3774.63
21,-758718911007.9489,$6069.36
60,573927709055.3856,$2366.58
37,394525980963.6352,$362.36
19,-467781160429.1584,$6993.37
64,-492516749502.0544,$6326.55
25,361290222954.0864,$9074.43
55,-476564035102.3104,$4333.54
37,-58408221592.7808,$5044.64
53,238537372021.5552,$4498.60
35,-786112581520.5887,$4007.36
33,160055369610.0352,$7097.64
63,654104432581.0176,$1384.65
63,-670840784735.4368,$1974.91
58,703921432769.3312,$1957.01
58,-269516825165.824,$9824.54
35,-706177144140.5952,$1327.35
20,449144492025.4464,$2085.99
56,497498529883.7504,$5872.56
39,-192857859371.8272,$1489.43
18,187834934965.0432,$62.58
53,-752999636926.464,$5366.25
46,189158348187.2384,$8581.52
32,5582182416.384,$7180.47
36,-828252656920.1664,$5004.75
20,557406228578.304,$2995.12
18,658616694184.3456,$7768.45
26,-804341204123.648,$1360.94
60,-493416725505.6384,$5343.35
24,-318531431091.4048,$6286.17
61,583502509847.3472,$6693.30
61,730364446244.864,$4067.13
43,561402969954.7136,$506.00
18,89197290245.3248,$1927.46
51,704809428582.4,$5665.92
43,-544984930241.7408,$1723.65
44,94171416441.6512,$6932.34
42,689890685616.128,$364.84
61,212941275345.7152,$6455.59
35,-529787222858.1376,$4902.46
33,-583204594306.2528,$5293.65
21,-817733227144.8064,$2322.70
47,261042830363.8528,$6375.17
42,164710480818.9952,$1517.72
36,-373455892303.0528,$8002.29
19,581117118565.5808,$1430.49
59,897996203176.7552,$226.95
57,845172514907.7504,$8955.29
52,882673620038.4512,$1301.66
40,39618054665.0112,$4372.96
54,292770055349.8624,$9933.52
18,603559173292.032,$1698.43
32,297677717766.144,$7222.86
24,-20268504317.952,$8279.97
21,-284465827518.8736,$4019.11
60,-764919070851.072,$336.40
39,-668945507103.5392,$7213.22
63,342292838114.9184,$123.99
54,416578209107.1488,$9202.25
55,-502202528222.4128,$6221.63
39,287185264915.2512,$4309.23
23,-774113455400.5504,$6254.81
40,193858205070.1312,$1909.33
50,148228518654.7712,$6613.18
26,199836141040.4352,$9637.83
64,623903513562.3168,$5563.80
28,-308093974373.9904,$7852.91
31,-881391137351.2704,$252.27
35,104737206278.5536,$832.50
31,25370719944.704,$6604.63
20,-524328667552.1536,$56.82
30,432397934290.5344,$3490.98
26,-829331879441.2032,$2590.41
43,854793496245.0432,$6004.01
23,-34809619834.4704,$2543.56
58,-121259800343.3472,$7534.86
27,-319513082776.7808,$8137.57
26,-828578462905.1392,$3745.02
50,813109913793.3312,$7853.68
60,-640888147542.016,$9559.72
27,549237792178.176,$2867.29
35,-62699404787.712,$8738.25
30,-617965339174.5024,$3089.72
52,-394574039298.8672,$1133.75
53,677594606128.3328,$950.83
36,-590571520183.5009,$5974.01
61,-2775512724.2752,$4177.53
19,-302349916989.0304,$3165.83
64,-729784715418.0096,$8453.40
46,-449817345628.5696,$5592.79
42,-697154364086.6816,$7025.88
49,450380209481.3184,$9752.57
19,591262056552.8575,$7761.62
41,-45858052007.5264,$5078.45
53,285147443861.9136,$779.19
30,283548543719.8336,$9136.95
49,616417882590.4128,$7851.92
47,-238187387551.744,$1644.74
26,712487668704.8704,$4480.18
55,-102945732637.4912,$8469.37
25,-170590903415.6032,$7568.17
35,-812565292646.4,$9438.65
65,-759895604120.7808,$6631.04
42,-538623730935.3984,$3194.90
55,547637867787.0592,$6675.93
20,215991764962.5088,$5206.04
18,-267236112806.7072,$4575.01
33,475417299386.368,$5344.71
60,-55928635470.6432,$814.02
21,-10313472252.3136,$5440.25
53,757686268749.4144,$3082.51
28,857515755569.152,$4853.96
29,344506100613.12,$8957.07
31,440023819852.1856,$8521.96
51,585338671700.3776,$5766.94
34,162337871678.6688,$2266.03
61,-32556108375.6544,$9058.14
21,-532875989273.8048,$1624.68
23,154927388373.8112,$9977.28
27,885213586522.112,$330.10
47,798617214386.176,$5518.03
44,-802503786915.4304,$5143.75
38,599908428021.76,$8043.78
59,821897548162.6624,$3400.67
18,280588362501.3248,$5549.78
60,369076820823.2448,$5999.45
32,-782828630232.2688,$5189.22
64,-2766586825.9328,$188.95
63,47141757753.7536,$2740.59
65,-640453035478.2208,$3714.64
49,-660046606237.696,$4742.02
41,-51667161789.2352,$6481.11
26,-532291288616.1408,$2753.30
52,-448644094781.0304,$4240.82
62,888740801570.4064,$3615.35
34,865412869573.8368,$5106.64
65,-413461470039.2448,$4409.08
55,737371098185.728,$1910.33
57,583506646269.952,$7314.17
59,-812710634507.4688,$5942.66
30,365612568150.016,$3931.94
32,334377598006.0672,$6005.64
31,-316023972141.4656,$9269.73
54,-388208524892.5696,$2160.69
64,-609990982028.4928,$2372.09
33,438686877902.4384,$647.68
38,697734492533.5552,$2468.99
53,606137665716.224,$7990.82
38,-829842809841.2544,$6062.37
26,-790924873013.6576,$6193.79
50,-770423553785.856,$8666.49
54,-577503230322.2784,$9249.47
59,703348914887.0656,$8176.30
39,-596737622278.144,$4791.75
45,-396341309708.6976,$6697.11
45,-393617577345.024,$1941.41
48,484605057354.9568,$5338.57
45,107318917411.6352,$1404.48
38,-545666917361.2544,$560.18
31,782817910849.536,$3494.34
59,803347589863.8336,$6807.76
52,-719982100165.4272,$7675.19
21,401439678319.8208,$2787.83
25,563127028128.1536,$8372.41
42,46885367919.4112,$9778.18
55,28495137524.9408,$371.27
32,69515741862.2976,$6971.09
25,-531588643710.5664,$1211.91
52,82211897134.2848,$2066.34
37,643778168120.9344,$2968.07
28,734668084006.0928,$7702.73
19,800098929868.8,$1790.79
44,473198762970.3168,$3002.63
49,-137674198142.1568,$55.12
46,359916155122.4832,$3613.85
65,211381653602.304,$8252.18
55,847957191347.4048,$109.28
60,-544118137054.8224,$7854.83
26,649992463187.968,$8993.42
64,336225406602.4448,$8707.78
43,-484414814211.2768,$2714.08
22,485643543956.6848,$958.13
43,-331871777770.7008,$1604.39
58,-710616482316.288,$5379.23
34,804244372743.7823,$5966.86
60,-157730350720.6144,$7102.04
26,-783203455886.9504,$2699.97
53,-521008364231.0656,$253.91
36,-35225524083.0976,$116.41
22,263976308545.9456,$1075.47
19,178395087162.5728,$8164.44
65,436568808069.5296,$5397.58
46,132687477289.7792,$1515.92
64,74166893648.2816,$4888.96
25,-887017513890.6112,$3491.19
25,440822968981.9136,$3109.14
42,176657378626.7648,$8151.36
18,415073752108.2368,$7509.21
48,-298184412758.016,$7202.34
63,704052521127.1168,$5010.87
41,-781171250167.808,$8776.57
19,-283935289586.4832,$1123.90
44,-78742107979.776,$2053.37
19,-619768708281.1392,$9728.81
41,490308705137.4592,$3586.83
18,-440979468530.4832,$3858.21
56,-303776140152.0128,$470.52
58,234079483697.5616,$1956.60
56,29709703525.1712,$2991.52
52,-713379409192.5504,$4154.72
63,-547267526262.784,$7262.12
56,441890645003.4688,$688.12
20,668979405049.0367,$9532.17
30,-567725383273.6768,$3969.52
21,780962546633.9327,$5620.28
37,-590773718351.872,$4976.09
38,-152309361278.976,$2870.16
28,300372905374.5152,$7940.78
33,196989482434.56,$6404.52
25,-428902884520.7552,$7947.74
44,865039189803.008,$8538.95
41,-851163166330.0608,$3538.34
60,214272673683.8656,$3573.45
21,-218320399761.408,$3723.01
60,-645927915434.8032,$9467.72
49,-247695463258.5216,$7967.84
26,236681709590.9376,$8062.86
27,-614441079432.8064,$5640.47
20,590594898814.5664,$7915.60
34,-738336194114.3552,$1674.59
28,298641643064.5248,$7591.51
61,359532911499.6736,$5855.56
34,779898324202.2913,$986.85
32,-292339723953.7664,$4436.01
62,819029095953.2032,$2265.34
21,398255509943.0912,$57.43
48,-348291725053.1328,$1766.16
48,-621297282108.6208,$505.96
18,-266157286227.968,$3890.72
60,184104589774.0288,$606.66
24,462722397372.416,$3730.64
35,-336245059013.8368,$8218.93
50,429666883285.8112,$2548.43
27,-74047152979.968,$5357.70
33,671437997840.7936,$887.19
41,362009012155.1872,$867.72
60,-863964805831.0656,$1313.79
50,-738228403856.9984,$2833.90
20,-128099526115.328,$7811.77
49,-24364969046.8352,$5113.40
33,763675552828.6208,$7108.36
64,369883870343.9872,$1956.69
21,28067970311.7824,$6080.27
40,-211083271235.1744,$549.61
49,-308672438101.6064,$8371.25
59,-252017163370.496,$1032.85
52,-214002131009.536,$7771.37
39,-550242830044.3647,$5481.36
33,-569547765999.2064,$4052.28
52,-63869517037.568,$3126.54
31,-542710721989.8368,$2250.57
22,358010423607.296,$2713.24
41,804427112697.0367,$1769.08
50,357591350142.5664,$3580.60
20,-142693782205.2352,$7126.00
29,-304125591945.216,$8823.86
