age,float,dollar
22,-485512741650.432,$6908.55
55,-392424576778.24,$5162.37
24,-42140436948.5824,$3725.89
59,-812054717923.328,$2781.78
28,451300727088.7424,$4920.90
45,619765424560.5376,$9194.29
35,-240609576720.7936,$1465.35
48,-476967504497.8688,$7388.93
62,855109792903.9872,$5731.47
48,-192906736015.7696,$3791.66
34,-491678774539.0592,$1132.15
50,-521311098608.0256,$9524.91
38,-111441928309.9648,$7449.50
29,16963514820.1984,$962.99
62,-498959881181.5936,$2368.41
51,-327966002459.4432,$121.11
59,848047036275.0977,$1617.86
23,-843185827033.9072,$3018.37
23,-522275528061.7472,$2.21
33,-344223131054.8992,$964.82
41,-528414739634.5856,$6961.12
51,547318031974.4,$7950.98
41,-324722519493.8368,$7038.37
51,630981879293.5424,$5578.38
45,-28981230095.5648,$6450.55
63,371776432164.0448,$195.96
26,-98577513499.8528,$2097.76
64,111063876396.6464,$89.16
63,-603533410199.1425,$1099.63
19,630779189552.7424,$7031.22
27,618882597807.7184,$2073.17
56,810161869212.8768,$4872.22
63,815862993282.6624,$9552.93
18,547596253999.9232,$699.53
48,-425836414186.2912,$1712.44
28,-638472543430.2465,$843.68
37,673207713949.2864,$7346.74
23,86369203598.1312,$1623.40
39,-793523625603.8912,$3707.41
60,-463722574879.1296,$2770.62
45,37160863190.2208,$2205.36
58,-854923344766.5664,$802.32
46,293650263179.264,$6469.43
25,-407245706546.3808,$8069.57
19,789646586308.1984,$7904.31
22,-656759205553.7664,$1211.27
53,692100685365.248,$6335.96
47,-733782089295.4624,$3400.67
19,668857855377.408,$4184.26
36,675025135232.6144,$1794.37
39,462473199091.712,$8586.74
61,-434263533866.1888,$7695.65
21,-518442707215.9744,$7711.78
45,492886663626.752,$8513.73
43,730471541925.4784,$8959.68
60,276091033459.0976,$4314.19
43,-659273357354.5984,$5703.00
59,737182919478.4768,$8795.67
60,-830961388355.584,$3730.66
60,132761447196.2624,$962.44
49,151275849121.792,$4847.96
49,54789307734.4256,$9628.94
33,272221885746.3808,$9670.66
18,17032712028.16,$134.01
20,28430010469.5808,$1481.13
31,427655184777.216,$1474.29
34,-528415076437.1968,$162.42
28,-217572982757.7856,$4563.23
45,-681102267750.8096,$5040.55
46,329368105438.4128,$3144.73
51,745247074995.4048,$5856.75
56,691854442810.5728,$1945.87
38,615194087024.2303,$5301.56
47,-243173804317.0816,$9009.04
46,147219629159.2192,$2763.08
55,-556593885845.9136,$7199.48
39,714927307017.4208,$6813.76
49,610254617942.4257,$7368.21
24,31620337342.8736,$8274.36
29,-201524992226.0992,$9205.10
26,100721615280.5376,$4972.24
40,57251076872.6016,$1814.10
45,-355203807602.2784,$3744.04
37,311415174437.2736,$1256.72
32,212879218101.4528,$8842.61
38,68235343744.2048,$7264.95
28,231778785060.4544,$2086.06
44,-756427028378.4192,$2018.24
31,386297071927.296,$7087.67
36,84124452782.08,$8702.31
60,-338480557195.264,$3595.23
49,85130748939.4688,$7293.16
35,389206360299.9296,$9646.28
56,5195955385.1392,$9425.48
31,189864124140.7488,$7772.82
47,-187642663455.9488,$1589.06
36,677052432777.216,$2774.15
19,51876770453.9136,$1652.16
52,389407967071.4368,$2733.02
38,548828282984.8576,$1151.26
28,697235916036.5056,$2551.90
41,298310015385.6,$9483.48
18,-477957122844.2624,$6284.62
39,799315622625.28,$5703.79
49,117236139504.4352,$1451.89
52,444804781572.096,$2963.95
47,344592542282.5472,$2389.45
23,612727788457.1648,$1988.21
35,412265145067.1104,$4286.29
53,-444254603391.7952,$9736.48
22,633585969974.4768,$9805.69
21,176768860291.072,$5401.82
33,-785708560993.4847,$1461.60
57,-235870703583.232,$8958.53
22,-397092681521.5616,$4620.02
57,-138663011601.6128,$3425.17
23,858402338740.6335,$1771.62
28,441313059982.5408,$5441.60
35,-733047777814.1184,$3268.87
19,483508894459.4944,$709.33
62,-718895864348.672,$4801.28
21,164472303910.912,$1212.86
51,-481908125335.552,$918.10
24,-836899189030.912,$442.18
58,257318915879.7312,$806.23
25,-176302495629.312,$7648.22
25,229725567136.5632,$5492.86
56,404209474207.744,$6638.74
61,-542756911762.6368,$2693.33
30,-329105488740.352,$6211.34
55,-749737624784.0768,$7819.50
57,-700947101227.4176,$6484.20
65,-248544524605.8496,$5262.36
19,-408428267909.9392,$9363.85
45,121572948338.2784,$2488.43
54,339215611487.8464,$4364.79
33,520586929792.6144,$767.93
23,836094206043.7504,$4101.22
32,113878722464.9728,$7010.25
61,702312952836.9152,$6797.97
42,897925949843.0464,$3442.25
32,822732740204.9536,$701.03
45,-48602956798.3616,$2939.84
61,-404285030819.4304,$4783.16
20,516613714686.7712,$824.02
51,-141369449172.1728,$7329.77
31,-302649694801.1008,$8270.09
53,330779854897.152,$150.39
37,-99821547841.1264,$9077.49
51,852170574816.8704,$6570.82
26,108532587089.1008,$4782.01
47,-878155676830.9248,$4879.44
62,-236369779621.888,$9639.05
52,-487592376559.2064,$961.93
60,-200230039453.696,$5027.82
35,613163489820.672,$2555.61
42,114432053923.0208,$3861.21
57,-867667607447.1425,$374.79
42,-114643460266.3936,$2240.18
34,-135447223205.888,$1973.67
40,867798083855.9744,$2859.55
51,-456788386670.1824,$8823.22
53,574053049538.9696,$9541.06
61,632487435619.5328,$3057.21
49,503432298994.0736,$4375.41
37,721925650880.9216,$6980.63
62,675699704306.0736,$2309.19
27,337682684811.6736,$2630.67
39,-811193100926.976,$3576.98
31,487076515754.8032,$6923.60
48,-405812632407.2448,$3225.87
40,-676625376293.6832,$1638.53
36,692886958401.1263,$5814.47
33,648129828565.8112,$2501.50
29,-558739188455.8336,$7146.54
59,-629777429954.56,$6589.54
53,-367821283183.8208,$5339.42
49,-666691981803.52,$3440.65
49,867349782803.2512,$644.99
57,-3389535761.2032,$2609.86
63,-298515274557.0304,$7914.78
43,-868327754825.728,$9985.96
30,-812192528911.5648,$9993.62
42,-873720942742.7328,$1266.60
41,-178575089074.176,$2673.59
34,-185581457899.52,$8600.16
52,-356559744715.9808,$4603.67
47,799541184744.6528,$8502.56
31,-555898078914.1504,$6012.53
36,455667451376.4352,$4665.36
24,-270645055193.088,$6353.06
20,209616840635.1872,$590.75
19,-786163228160.8192,$757.94
21,-287888631241.1136,$4515.99
65,739830591494.5536,$3020.50
18,-501262544430.6944,$985.61
43,273092164399.9232,$8040.64
62,751333021004.5952,$4327.77
21,873862547898.368,$143.13
38,-722325497656.1152,$477.26
49,215496935237.2224,$2835.12
61,-7090586255.36,$8991.23
34,-42370116616.192,$1134.00
42,134689575875.3792,$3830.07
39,790723262886.7072,$1472.60
59,715153618239.488,$1412.89
47,-244570764240.4864,$1700.88
61,208821494061.4656,$2877.78
33,651710109948.3136,$3148.78
64,-47738932271.5136,$7065.86
28,103501409969.7664,$1160.67
20,693820158744.9856,$7764.93
37,-29225949279.0272,$9642.08
24,-5610474255.1552,$141.97
35,751144901856.4608,$2996.89
35,-171409353054.6176,$5499.95
37,609306930891.9808,$8100.99
36,491239549121.3312,$1202.50
56,186927955312.64,$1749.10
51,-346584243607.9616,$4204.33
35,-43237439963.136,$2832.93
27,-189863466473.8816,$9016.31
25,-494933530954.9568,$2179.52
28,792078544011.264,$3927.62
42,-891206827088.2816,$2901.06
31,123911938454.3232,$117.88
35,575604193335.7056,$2413.10
60,-257280566099.968,$1948.64
38,-808562975362.2528,$2761.65
20,257749488028.8768,$2917.16
37,-703460951038.3616,$4598.54
20,322323574318.6944,$9672.96
40,-276289560353.1776,$5608.29
50,-869617909314.3552,$4335.93
39,-698039524550.2465,$4876.34
19,312976236924.1088,$5263.37
36,-694514736745.6768,$7158.60
52,-451784702794.1376,$7478.56
48,-544160773832.704,$1294.67
42,524037423051.5712,$6941.69
36,653896034811.904,$1644.49
36,-885649832725.7087,$358.34
61,-569027774224.7936,$4490.54
35,73652150206.464,$1929.22
55,-781040724266.1888,$2616.56
64,-497448828639.6416,$6520.84
54,509094134598.8608,$1476.19
28,-541226239524.864,$3192.56
30,-153740685554.4832,$7720.85
62,856619805258.5472,$9336.30
25,271982564212.736,$9575.41
63,-164649974628.352,$1476.72
57,191931278478.5408,$1665.43
28,-854152236656.2303,$187.57
35,-824960468857.6512,$9174.99
53,551304678499.9424,$8068.38
33,-364878849743.2576,$9823.80
31,-508660437273.8048,$1799.07
27,35805871053.2096,$5090.51
58,-246693404187.0336,$3235.50
33,-403832108901.9904,$5758.78
47,436365276531.9168,$5991.81
51,768210903236.608,$7144.52
35,64683144065.8432,$4754.14
42,-590003420581.0688,$9633.67
64,98940409715.0976,$8366.04
31,651693729513.472,$5073.80
47,-758807571464.192,$1380.11
51,-331315515333.0176,$2077.41
59,-678047369501.0815,$1057.63
45,-689869855863.6031,$571.63
21,213098286179.9424,$7211.33
31,-580013578728.2432,$3629.08
36,709738225257.6768,$7663.05
60,-456737328149.2992,$6887.95
23,-75229809554.2272,$6112.33
53,461168490368.2048,$4586.95
36,-32490023760.6912,$9116.10
41,-341686811518.5664,$3644.29
53,-518665212107.1616,$320.45
47,172391372580.4544,$6283.96
19,-54040590077.1328,$8279.93
55,363844141370.5728,$7353.75
27,683785595125.76,$5813.57
29,-791931758890.1888,$5095.01
26,372294613257.4208,$9834.29
40,618904998746.5216,$8058.46
37,639613533788.5696,$3154.76
30,161393315256.7296,$8545.70
46,-573360759111.68,$1210.68
34,147053318714.1632,$2486.57
18,132447283340.9024,$377.03
55,-480410162377.5232,$943.75
30,-305848517237.1456,$2762.63
57,369446982831.3088,$7867.26
53,-356356937534.6688,$5291.93
57,890740831105.8431,$8518.86
55,-115420898000.896,$4128.12
53,-395045598606.1312,$371.07
24,-234050472955.0848,$7180.40
36,-139397865825.8944,$177.42
53,-107987058714.2144,$9104.89
44,-385997596943.9744,$9427.98
59,674887484047.36,$3583.90
39,551101949752.1152,$261.00
57,109581335894.4256,$8298.74
38,-743574384882.4832,$9299.25
36,430812998244.7616,$1166.18
43,-22545305488.5888,$2177.35
38,-723736858722.304,$3593.55
39,-839448575082.496,$3604.87
21,514862013113.9584,$5897.36
51,533999339228.3648,$950.95
58,643672421747.9167,$429.53
18,846739578185.3184,$6447.26
63,172720338973.4912,$8091.48
38,-387095513897.3696,$9168.94
46,709793870249.984,$7618.44
55,-648818907414.528,$4335.43
47,-25978536250.5728,$9041.63
61,-481179456031.9488,$2483.05
33,-273525300527.104,$7828.50
64,-823464234791.7312,$5642.22
21,-193174896744.8576,$7903.94
42,-420181969784.0128,$3703.22
30,347839734690.6112,$6032.27
28,274437480277.6064,$8288.81
50,694829000425.472,$7722.01
26,-131925233002.0864,$2774.87
54,872073141629.7472,$3657.85
54,-595431069319.168,$9095.74
27,-231225604177.92,$8392.52
58,509077816659.1488,$8192.37
44,-882897887376.1792,$8790.32
20,-893002267702.0673,$7966.37
33,35716465269.1456,$9406.75
58,844611563238.1952,$9566.35
47,465879182396.6208,$4709.99
23,135652713064.0384,$7985.67
58,-342679099958.8864,$551.59
63,-224751630522.7776,$1362.88
59,554596312494.8992,$4513.12
49,-384812388974.592,$8496.64
51,-649252206280.704,$386.04
40,194028876752.4864,$9749.94
45,130991241193.0624,$218.12
64,616006314413.2607,$7486.37
46,-647993773313.2288,$5220.85
33,-361028453924.864,$5779.58
55,789420565331.968,$9803.39
38,608461708591.104,$2035.27
38,-558564394192.0768,$1268.95
24,-775034666745.856,$279.19
28,547513398460.416,$5542.53
54,-820036879410.7904,$2143.29
27,714751743518.3104,$918.42
21,659377138276.7616,$1541.17
52,42782801736.4992,$5689.08
65,-338593923360.3584,$5218.77
46,-260766790634.7008,$5179.56
18,-858802730355.9167,$4300.50
49,128286422204.416,$98.46
28,486020234818.3552,$8508.23
50,47164241739.776,$3652.48
56,-350175530005.2992,$8366.09
22,-629537492277.6576,$4846.40
53,-749430066118.656,$2538.29
34,-785639481645.4656,$1022.06
42,374450159196.5696,$1338.62
46,-890625700816.4865,$5176.91
40,598342554248.8064,$8174.27
37,-249215105735.0656,$1208.67
37,664125394911.232,$2447.95
56,783418687435.5712,$760.97
57,-606999843071.5905,$8020.60
48,341799868144.0256,$4385.73
48,619495353745.408,$2743.44
63,-633498527544.1152,$2141.01
60,57633547065.7536,$3079.26
34,-184139642830.848,$9024.82
61,85426726712.1152,$5222.41
27,-53451709795.5328,$589.84
43,147312315308.4416,$5982.12
36,-7850454469.8368,$1810.00
46,-109835089189.2736,$2082.25
38,740968022566.5024,$6339.05
54,646388472243.8145,$154.66
20,409131053324.6976,$6447.18
27,-826770573597.0815,$8569.48
37,-499976557402.5216,$1622.79
37,62048227767.0912,$1748.77
45,-765917055156.224,$8227.39
33,856332163665.1008,$1870.99
41,178335548178.432,$9694.36
55,561156705170.2272,$5372.79
43,883732437270.528,$6521.09
47,-806222051672.064,$4865.77
48,-380585613931.3152,$6734.34
52,74475240003.9936,$5135.29
61,633506226608.5376,$4887.11
25,-427591524469.9648,$2268.53
45,-49274183430.9632,$5930.81
59,-588702017388.544,$4376.00
54,-435358206525.44,$1808.77
32,-285116046979.8912,$8171.33
25,-181088563075.4816,$4334.84
53,704883089788.1088,$4848.68
61,468652624393.0112,$9076.68
28,-651842733421.3632,$525.47
35,886032277753.0367,$5151.81
62,357912090666.5984,$1026.41
39,255683277828.9152,$7907.00
31,451166926693.9904,$4129.83
29,421586828001.28,$4761.80
29,-735267286050.4064,$6887.97
52,-102308231145.0624,$6933.71
51,-247068775940.096,$8678.33
55,741437939803.7504,$4524.33
24,347202986075.7504,$6858.90
44,681884597721.4976,$5983.91
65,-446551252428.3904,$8197.27
53,497080842217.0624,$6265.52
49,-247975060176.896,$6470.72
60,-210041769348.3008,$1193.17
22,529763199562.5472,$7540.97
28,-844266103164.1088,$7722.31
35,291167457089.9456,$1449.32
36,-823492844139.3152,$893.28
28,-225768755114.8032,$1681.79
38,39647366558.5152,$7049.84
32,694439197750.0673,$904.41
34,-433261657246.9248,$9088.08
27,399639531696.9472,$6456.87
37,319351702316.6464,$5151.93
37,-200339362729.1648,$7169.14
51,-163318668984.32,$3053.32
57,72050908803.8912,$4345.67
48,-355172264339.0464,$8183.15
63,760420851777.536,$5213.89
23,-341027871260.672,$5953.91
39,23944490490.2656,$3140.34
51,628071956322.7136,$1563.15
54,822270677640.8064,$3486.86
56,-338974341699.9936,$3802.79
47,-453940373723.5456,$6805.04
23,-481019153507.9424,$6539.63
35,-862836681080.832,$7124.00
53,95853175478.6816,$1423.79
24,-483293036281.856,$9334.75
33,789360541066.8544,$3745.62
46,-798905056047.9232,$7891.06
52,303598164089.2416,$6126.72
21,624928101079.4496,$540.83
36,-325213306748.928,$5667.84
33,344093759425.7408,$8016.69
27,-218209827002.7776,$1078.62
19,-440579362966.7328,$6298.91
29,-878845841584.9471,$5408.65
50,-205801392177.152,$7589.56
65,595014589612.032,$4339.80
39,616441246121.984,$239.42
44,669119877742.592,$1645.66
52,477144439953.8176,$3934.00
42,-722152799286.0673,$5450.05
55,37564247860.8384,$4896.55
56,-590409588591.8208,$1304.84
57,290260359577.6,$9815.05
20,244395596264.2432,$9077.95
57,790736073129.984,$9928.20
61,-659648021528.576,$2576.19
43,663035853982.9248,$4537.58
47,6581255143.424,$9737.06
51,-764327111111.4752,$4758.34
36,352285144121.344,$6814.71
39,-727715494546.6368,$5929.04
31,-635674300933.7344,$8538.77
26,801816061988.0448,$6023.07
35,564988335672.5248,$8686.05
24,246599168661.9136,$5243.76
44,-757547829454.4384,$7146.79
28,-5744986003.8656,$8252.26
21,240666202760.8064,$6436.77
35,-231407725471.3344,$5724.79
31,-166295564504.2688,$325.77
55,-21599650159.0016,$9382.98
50,-690106503109.0176,$5885.67
20,538649520032.9728,$4910.11
47,-441882558385.3568,$8996.62
45,52094784084.3776,$209.68
38,-12845439778.816,$364.34
44,677265766822.7072,$3103.96
57,652358843786.8544,$9820.98
46,526890977093.2224,$413.52
62,110167308265.0624,$4040.50
40,-729148437823.488,$9290.64
48,-103018580148.224,$2516.75
27,311616230077.2352,$2693.93
63,-486404769028.5056,$7638.41
24,-870070780900.1472,$926.68
37,592070494807.6544,$6668.83
49,629668605801.2672,$5433.80
59,276993779800.4736,$1224.42
36,-405851980850.7904,$1802.22
58,-232622953332.736,$8804.95
31,258096868674.7648,$2650.01
45,-899349752892.6208,$1383.88
59,-456057120253.5424,$9626.56
57,-215033241927.68,$6981.25
47,-221420202649.1904,$9838.94
28,246737495968.9728,$1646.80
27,-890588343828.48,$3120.49
59,895429573921.9968,$8809.60
19,-219775327482.6752,$9821.15
28,-511935425334.4768,$3189.55
61,421096954685.0304,$2350.41
18,235395159687.168,$9529.63
21,507944451545.4976,$1414.72
32,848985672856.3712,$1396.50
20,249120691532.5952,$9039.51
50,-226486785985.7408,$1573.31
54,-55754908237.824,$572.78
43,-76220033558.1184,$2403.74
44,-662710813877.8624,$8490.34
54,842574358747.5457,$4333.73
64,14274648447.3856,$1962.95
49,-625889195222.6304,$9251.28
44,-438147467339.3664,$7502.82
54,-279513836761.9072,$2538.78
62,718680591276.4417,$9230.52
48,619976273900.3392,$7622.08
19,-523099994849.28,$8882.48
43,292577783001.9072,$5215.02
32,270492881649.664,$4518.03
35,510312336641.2288,$427.65
31,-135387876740.3008,$7852.62
35,86807040701.2352,$7900.20
27,-717120980018.7904,$106.07
56,296149963505.664,$1206.21
27,-402060170231.808,$282.84
64,733442165702.656,$6684.42
23,-806481328865.28,$8363.81
54,182751844525.6704,$615.94
52,-269987134570.496,$8431.61
34,132784765009.92,$5351.68
37,659270438119.0144,$439.09
24,-110421015841.9968,$7540.62
35,565169144148.7872,$3901.90
37,191162439067.2384,$2010.32
